battery_voltage,battery_current,battery_charge,temperature,solar_power,communication_signal,packet_loss,pitch,yaw,roll,payload_temp
29.95,7.61,89.6,22.58,654.97,-80.06,0.13,0.28,-0.26,-0.3,23.61
29.99,7.88,88.4,22.89,653.64,-81.92,0.017,-0.4,-0.26,-0.21,24.37
30.04,8.02,90.3,22.96,666.52,-82.09,0.074,-0.41,0.38,-0.3,23.83
30.18,8.23,89.5,22.54,680.29,-79.69,0.031,-0.9,-0.09,-0.13,24.9
30.01,8.48,90.5,23.07,667.71,-85.05,0.01,0.8,-0.22,0.1,24.3
30.03,8.37,89.4,23.51,672.69,-82.72,0.012,0.29,-0.9,0.44,25.06
30.31,7.8,88.7,23.57,695.78,-80.31,0.03,0.5,-0.3,-0.51,25.07
30.14,8.02,89.2,23.3,692.58,-79.28,0.034,-0.32,-0.21,-0.99,24.7
30.08,8.13,92.8,23.87,685.1,-79.13,0.024,1.1,-1.1,0.45,25.73
30.2,8.01,90.5,24.2,700.07,-84.35,0.089,0.19,-0.19,0.02,26.18
30.25,7.98,92.1,23.69,694.81,-80.86,0.032,0.39,-0.1,0.13,25.27
30.51,7.51,90.4,23.49,699.54,-78.71,0.005,0.19,-0.51,-0.33,25.48
30.46,7.65,91.8,24.95,711.32,-81.41,0.002,0.1,0.09,0.96,25.93
30.52,7.84,92.2,24.59,694.41,-80.08,0.053,0.09,0.68,0.09,26.41
30.51,7.0,94.4,24.47,700.88,-78.93,0.01,-0.47,1.3,-0.2,26.71
30.55,8.08,92.1,24.61,717.02,-79.38,0.113,0.21,-0.14,-0.63,26.24
30.39,7.44,92.0,24.98,716.96,-78.61,0.04,0.2,-0.46,0.64,26.6
30.47,8.01,93.0,25.44,734.59,-79.48,0.01,-0.21,-0.52,-0.67,26.57
30.4,7.94,92.2,24.7,726.66,-78.24,0.091,-0.2,0.27,1.04,26.7
30.52,7.55,93.5,25.23,725.82,-78.08,0.002,0.05,-1.12,0.44,26.81
30.65,7.96,93.3,26.1,758.71,-77.57,0.021,-0.59,0.8,-0.29,26.63
30.61,7.83,92.9,25.95,745.81,-77.53,0.005,0.1,-0.57,0.21,27.68
30.78,7.46,94.1,26.06,752.67,-77.13,0.077,0.6,0.49,-0.49,27.52
30.51,7.37,94.0,26.09,741.57,-79.22,0.001,-0.76,-0.81,0.52,28.24
30.72,7.76,94.6,26.2,754.09,-79.02,0.04,0.69,0.64,-0.43,28.11
30.54,7.45,95.5,26.06,764.25,-77.96,0.059,-0.45,0.28,-0.65,27.77
30.72,7.63,93.9,26.17,755.13,-75.22,0.01,-0.03,-0.06,-0.62,27.61
30.81,6.53,94.2,26.78,773.78,-77.71,0.039,0.53,0.03,0.2,28.96
30.72,7.21,93.6,26.44,767.28,-75.42,0.003,-0.17,-0.16,0.05,27.67
30.83,6.65,95.2,26.85,773.51,-75.62,0.005,0.33,0.19,0.06,28.35
30.66,7.04,94.4,26.93,773.43,-75.5,0.096,-0.55,-1.05,-0.32,28.49
30.59,7.2,95.3,27.77,800.86,-75.52,0.008,0.29,0.18,-0.14,28.49
30.87,7.43,96.1,27.07,784.96,-78.96,0.01,0.44,0.1,0.1,28.53
31.03,6.56,94.7,27.65,777.15,-79.06,0.067,-0.34,-0.68,0.66,28.51
30.71,6.61,95.0,27.61,798.44,-78.64,0.01,0.08,-0.08,-0.17,28.82
30.99,6.67,96.3,27.43,780.36,-75.58,0.022,0.16,0.56,0.2,29.21
30.86,6.33,96.1,27.14,796.87,-77.59,0.011,-0.15,-0.33,0.77,29.46
30.7,6.84,96.1,27.67,777.25,-77.99,0.038,-0.36,0.53,0.31,29.24
30.74,6.45,95.4,28.1,785.49,-77.64,0.107,-0.18,0.14,-0.25,29.34
30.88,6.44,94.6,27.46,802.51,-76.21,0.004,-0.07,0.27,-0.02,29.24
30.84,6.51,95.2,28.27,809.56,-77.9,0.048,0.02,-0.47,0.19,29.82
30.73,6.23,95.1,28.54,805.36,-77.53,0.025,0.18,0.77,-0.83,29.86
30.69,5.93,96.4,28.19,803.82,-77.17,0.023,0.08,-0.13,-0.33,30.08
30.8,6.08,96.2,28.56,803.14,-75.27,0.029,-0.21,-0.28,0.11,29.8
30.92,5.77,95.5,28.37,792.38,-79.07,0.052,-0.24,0.51,0.93,29.73
30.9,5.98,95.6,28.6,800.83,-76.51,0.037,0.36,0.06,0.71,30.16
30.84,6.17,96.4,28.99,804.13,-77.0,0.021,0.14,-0.11,-0.6,30.44
30.92,5.45,95.7,27.99,819.86,-75.5,0.001,0.11,0.66,-0.53,29.95
31.02,5.27,95.5,28.33,813.12,-76.53,0.015,-0.15,0.11,0.88,30.11
30.94,5.67,97.6,29.09,792.29,-77.69,0.069,-0.63,0.29,-0.57,29.93
30.87,5.35,95.5,29.21,813.24,-73.05,0.026,-0.11,-0.04,-0.67,30.0
30.99,5.52,96.5,28.27,806.07,-73.91,0.014,0.07,-0.51,-0.9,30.3
30.76,5.54,96.2,29.35,802.91,-75.82,0.002,-0.43,-0.11,-0.27,30.22
30.84,4.73,94.6,27.94,815.41,-75.27,0.103,1.76,-0.66,0.93,30.91
30.83,5.51,95.3,29.1,819.05,-77.24,0.008,0.59,0.6,0.43,30.63
30.7,4.89,96.4,28.99,817.34,-75.78,0.033,-0.02,-0.47,-0.01,31.15
30.79,5.16,95.6,28.68,798.77,-72.09,0.027,0.32,0.76,0.8,31.18
30.58,4.91,94.4,28.72,803.05,-74.19,0.005,0.06,-0.1,0.94,30.69
31.04,4.88,95.8,28.75,808.28,-77.62,0.007,-0.09,-0.26,-0.26,29.89
30.69,5.49,95.0,28.92,813.4,-75.41,0.084,1.03,0.6,-0.8,30.86
30.97,5.02,95.7,29.69,797.37,-75.89,0.169,0.14,1.06,-0.66,31.16
30.77,5.14,97.4,29.29,798.68,-75.22,0.014,-0.6,0.24,-0.42,30.95
30.82,4.86,95.4,29.5,787.69,-73.33,0.021,0.15,0.32,-0.04,30.82
30.67,4.95,95.5,28.88,784.87,-77.36,0.022,0.06,0.19,0.85,30.57
30.74,4.83,94.7,29.06,802.89,-76.31,0.004,-0.04,-0.23,0.45,30.18
30.77,4.74,93.8,28.59,806.11,-77.7,0.109,0.23,0.36,-0.43,30.87
30.75,4.94,95.4,28.85,789.48,-75.7,0.011,-0.15,-0.23,0.29,30.52
30.75,4.61,94.0,28.73,797.74,-75.87,0.017,-1.13,0.24,0.31,30.68
30.59,5.21,94.1,29.06,788.7,-72.93,0.064,0.33,-0.86,-0.68,30.28
30.55,4.77,95.6,28.61,775.87,-77.35,0.036,-0.3,0.69,-0.25,31.27
30.39,4.11,93.7,28.52,783.04,-74.74,0.011,-0.1,-0.39,-1.0,30.52
30.62,4.36,94.8,28.91,791.79,-80.06,0.002,-0.11,-0.59,0.25,30.21
30.66,4.5,93.9,28.7,772.91,-73.26,0.004,0.35,0.21,-0.15,29.85
30.7,4.36,93.0,28.43,785.65,-76.15,0.015,0.38,0.05,0.01,29.68
30.52,4.53,93.5,28.32,740.42,-76.02,0.018,-0.37,-0.23,0.53,30.42
30.36,4.54,92.5,28.31,771.34,-76.6,0.02,0.37,-0.35,0.58,29.87
30.22,3.87,93.6,28.77,760.38,-75.6,0.002,-0.45,-0.57,0.48,29.84
30.52,4.64,93.7,28.56,752.8,-77.25,0.001,0.93,0.36,0.48,29.72
30.15,4.09,92.5,28.08,752.89,-76.2,0.029,-0.67,0.09,-0.02,29.41
30.3,4.05,93.3,28.01,728.17,-74.44,0.005,0.35,0.5,-0.05,29.64
30.28,4.04,92.2,27.78,741.83,-77.11,0.032,0.1,0.32,0.73,29.69
30.27,4.45,92.5,27.96,743.48,-77.04,0.005,0.46,0.07,-0.2,29.16
30.25,4.12,94.0,28.05,750.49,-77.07,0.024,-0.22,-0.39,-0.75,29.59
30.23,4.0,93.3,27.6,726.24,-75.28,0.01,0.93,0.97,-0.95,28.86
29.89,4.07,91.0,28.58,718.97,-77.01,0.007,-0.2,-0.45,0.47,29.06
30.15,3.67,91.1,27.93,717.6,-77.52,0.007,0.63,0.18,-0.06,29.27
29.85,3.96,89.8,27.6,727.25,-76.66,0.017,-1.32,0.79,0.55,29.0
30.17,3.85,91.1,27.53,716.8,-75.42,0.023,-0.1,0.57,-0.62,28.23
29.98,4.15,90.5,26.9,703.57,-79.05,0.052,0.76,0.32,-0.14,27.64
29.75,4.44,89.3,26.86,709.3,-76.05,0.039,0.14,-0.45,0.14,28.85
29.88,4.43,90.6,27.62,700.38,-76.73,0.007,1.64,1.1,0.93,28.77
29.88,4.66,89.2,27.61,704.3,-76.76,0.017,1.23,-0.15,-0.35,28.54
30.05,4.62,88.8,26.14,682.74,-77.42,0.001,-0.83,-0.71,0.55,28.13
29.9,4.17,89.3,26.95,681.6,-77.49,0.025,1.87,0.24,-0.09,27.98
29.88,4.37,88.3,27.14,676.03,-76.58,0.037,0.52,-0.06,-0.2,27.9
29.95,4.38,88.4,26.41,660.36,-80.06,0.041,0.31,-0.33,0.53,28.03
29.76,3.78,89.6,26.93,672.98,-79.05,0.004,-0.91,-0.74,0.77,27.59
29.83,4.09,87.5,26.53,667.64,-80.47,0.021,0.62,0.77,0.07,27.65
29.79,4.45,88.2,26.28,660.06,-75.33,0.064,0.68,0.65,-1.15,27.87
29.52,4.49,87.0,25.9,652.65,-76.27,0.006,-0.25,-0.97,-0.39,26.8
29.81,4.74,86.4,25.88,635.81,-81.53,0.002,0.91,0.58,-0.28,26.96
29.43,4.77,86.9,25.55,640.73,-77.84,0.009,-0.79,-0.01,0.36,26.54
29.68,4.14,88.8,25.66,636.49,-78.82,0.003,0.03,-0.73,-0.74,26.56
29.35,4.88,87.1,25.5,626.89,-77.72,0.002,0.88,-0.19,0.03,26.52
29.57,4.83,86.6,25.11,628.3,-78.23,0.008,-0.4,0.37,0.06,26.05
29.69,5.02,85.5,24.44,628.98,-79.06,0.014,-0.21,-0.79,0.22,25.59
29.41,5.21,85.4,24.9,638.85,-79.07,0.041,-0.34,-0.14,0.56,25.55
29.37,4.9,84.3,24.47,616.81,-77.57,0.002,-0.21,-0.93,-0.66,26.09
29.44,5.38,86.7,24.28,612.75,-80.11,0.11,-0.06,-0.08,-0.17,25.48
29.3,4.8,85.2,24.28,604.58,-79.92,0.0,-0.21,-0.23,-0.24,25.5
29.53,4.85,84.9,24.66,581.33,-78.51,0.049,1.53,0.62,-0.16,25.44
29.3,5.32,84.7,23.83,595.5,-78.32,0.0,-0.35,0.22,-0.21,25.62
29.21,5.15,86.0,23.76,591.67,-79.3,0.009,-0.13,-0.3,0.05,24.99
29.15,5.4,84.3,24.17,611.05,-80.59,0.081,-0.54,-0.31,0.52,25.03
29.08,5.99,83.7,23.5,579.92,-82.51,0.017,-0.79,0.98,-0.48,24.32
29.08,5.58,85.1,23.22,580.34,-82.58,0.013,0.29,0.03,-0.42,24.55
29.09,5.6,83.4,23.75,572.54,-80.57,0.032,0.93,-0.39,-0.39,24.06
29.05,5.35,81.9,23.27,556.83,-80.15,0.044,1.19,-0.04,0.65,24.24
29.0,5.17,81.8,23.2,575.66,-81.07,0.075,0.44,0.87,-0.2,24.19
29.3,5.73,82.7,22.95,567.55,-82.25,0.073,0.01,0.23,-0.19,23.88
28.9,6.15,82.9,23.03,563.83,-82.62,0.036,0.84,0.65,1.36,23.65
29.02,5.8,83.1,22.98,542.81,-80.71,0.001,-0.05,-0.51,-0.27,23.78
29.05,6.1,81.6,22.55,562.01,-79.05,0.011,0.79,0.11,-0.52,23.35
29.03,6.48,82.0,21.93,530.14,-82.34,0.011,-0.38,-0.34,-0.91,23.2
28.93,6.55,81.3,22.42,546.31,-81.4,0.012,1.0,0.88,0.98,22.8
28.89,6.33,82.7,22.06,558.74,-82.57,0.003,-0.08,0.61,0.58,23.28
28.95,6.33,82.7,22.34,523.43,-80.74,0.001,0.81,0.48,-0.06,22.91
28.91,5.9,83.1,21.59,524.29,-81.97,0.008,1.07,-0.1,-0.37,22.6
28.83,6.24,81.6,21.66,527.69,-80.43,0.026,0.13,0.92,0.3,22.24
28.65,6.42,82.7,21.13,518.51,-81.88,0.0,0.03,-0.17,-0.12,23.45
28.77,6.32,80.5,21.79,505.03,-82.01,0.066,0.83,0.56,0.38,21.18
28.67,6.72,81.1,21.82,518.33,-83.61,0.076,0.45,1.07,-0.68,21.95
28.71,7.3,80.0,21.1,504.26,-83.72,0.029,0.8,0.61,-0.01,21.93
28.78,7.25,81.2,21.09,516.99,-81.91,0.002,0.5,0.21,-0.46,22.37
28.81,6.94,80.9,20.76,500.58,-82.39,0.117,0.22,-0.9,-0.22,21.76
28.97,7.17,78.6,20.68,522.92,-79.85,0.029,0.5,0.71,-0.55,21.84
28.68,6.79,81.3,21.06,497.38,-84.65,0.023,0.12,-0.87,0.27,21.48
28.83,7.51,81.1,20.54,499.92,-81.65,0.019,-0.63,-0.32,-0.57,22.29
28.76,6.67,79.9,20.78,509.35,-83.07,0.004,0.27,0.11,0.81,21.6
28.88,7.48,80.5,20.51,487.13,-84.86,0.048,-0.28,-0.05,0.03,21.09
28.78,7.42,79.0,20.68,500.09,-87.54,0.021,-0.48,0.68,-0.48,21.53
28.59,7.11,79.5,20.19,509.41,-84.61,0.001,-0.16,-1.06,-0.24,21.06
28.5,7.33,81.4,20.62,478.94,-84.54,0.005,-0.7,-0.03,-0.01,21.8
28.74,7.12,79.1,20.81,495.69,-84.67,0.01,-1.86,-0.21,1.14,21.53
28.64,7.19,80.0,19.48,495.42,-82.68,0.074,0.43,-0.16,0.54,21.03
28.58,7.09,78.9,19.97,499.78,-84.84,0.018,-0.34,1.77,-1.38,20.74
28.55,7.85,80.3,19.9,478.89,-83.86,0.085,0.17,-0.03,-0.12,20.51
28.72,8.04,80.5,19.61,477.5,-86.48,0.01,-0.09,-0.3,-0.48,21.05
28.89,7.08,80.6,19.95,495.53,-83.92,0.124,0.61,1.18,-0.89,21.22
28.66,8.32,80.4,20.14,493.05,-86.57,0.093,-0.28,-0.6,1.06,20.47
28.78,7.81,81.2,19.0,492.5,-83.72,0.037,-0.76,0.69,-0.06,20.71
28.71,7.95,79.6,18.92,493.55,-83.39,0.042,0.51,0.21,-0.27,20.69
28.57,7.46,79.3,20.18,483.52,-87.2,0.001,-1.43,0.47,1.02,20.8
28.82,8.34,79.7,19.47,493.04,-82.18,0.008,0.13,-0.34,0.26,20.1
28.61,8.04,79.1,19.55,494.2,-85.85,0.007,0.13,0.03,-0.26,20.56
28.75,8.35,80.3,19.11,484.83,-84.72,0.096,0.39,0.39,0.23,21.25
28.72,8.41,80.2,19.48,511.5,-84.22,0.016,1.45,0.18,0.88,20.37
28.88,8.47,80.8,19.92,498.6,-86.47,0.028,-0.23,0.12,-0.23,20.5
28.66,7.9,79.2,19.6,483.13,-86.61,0.009,0.28,1.1,0.14,20.46
28.85,8.05,80.6,19.48,502.93,-86.29,0.009,0.39,-1.58,0.69,20.52
