timestamp,satellite_id,temperature_c,voltage_v,current_a,battery_soc_percent,solar_power_w,communication_signal_db,vibration_g,attitude_error_deg,subsystem,label,temperature_change,voltage_change,current_change,battery_soc_change,solar_power_change,communication_signal_change,vibration_change,attitude_error_change,temperature_deviation,temperature_rolling_mean,temperature_rolling_std,voltage_deviation,voltage_rolling_mean,voltage_rolling_std,current_deviation,current_rolling_mean,current_rolling_std,battery_soc_deviation,battery_soc_rolling_mean,battery_soc_rolling_std,solar_power_deviation,solar_power_rolling_mean,solar_power_rolling_std,communication_signal_deviation,communication_signal_rolling_mean,communication_signal_rolling_std,vibration_deviation,vibration_rolling_mean,vibration_rolling_std,attitude_error_deviation,attitude_error_rolling_mean,attitude_error_rolling_std,power_draw_w,net_power_w
2026-03-01 00:00:00,SAT-001,35.99,25.92,14.67,22.54,522.98,-68.7,0.0608,0.103,BATTERY,ANOMALY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.99,0.0,0.0,25.92,0.0,0.0,14.67,0.0,0.0,22.54,0.0,0.0,522.98,0.0,0.0,-68.7,0.0,0.0,0.0608,0.0,0.0,0.103,0.0,380.25,142.73
2026-03-01 00:01:00,SAT-002,30.12,28.58,4.25,91.02,531.21,-68.49,0.0273,0.125,PAYLOAD,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.12,0.0,0.0,28.58,0.0,0.0,4.25,0.0,0.0,91.02,0.0,0.0,531.21,0.0,0.0,-68.49,0.0,0.0,0.0273,0.0,0.0,0.125,0.0,121.46,409.75
2026-03-01 00:02:00,SAT-003,23.09,28.23,5.28,89.88,518.98,-68.88,0.0378,0.136,COMMUNICATION,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.09,0.0,0.0,28.23,0.0,0.0,5.28,0.0,0.0,89.88,0.0,0.0,518.98,0.0,0.0,-68.88,0.0,0.0,0.0378,0.0,0.0,0.136,0.0,149.05,369.93
2026-03-01 00:03:00,SAT-004,23.13,28.2,6.02,89.95,495.72,-64.72,0.0783,0.116,COMMUNICATION,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.13,0.0,0.0,28.2,0.0,0.0,6.02,0.0,0.0,89.95,0.0,0.0,495.72,0.0,0.0,-64.72,0.0,0.0,0.0783,0.0,0.0,0.116,0.0,169.76,325.96
2026-03-01 00:04:00,INSAT-3D,72.11,27.5,5.69,77.08,553.21,-69.61,0.0315,0.054,THERMAL,ANOMALY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.11,0.0,0.0,27.5,0.0,0.0,5.69,0.0,0.0,77.08,0.0,0.0,553.21,0.0,0.0,-69.61,0.0,0.0,0.0315,0.0,0.0,0.054,0.0,156.48,396.73
2026-03-01 00:05:00,GSAT-30,22.05,28.07,6.17,86.62,485.29,-70.39,0.0562,0.1,POWER,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.05,0.0,0.0,28.07,0.0,0.0,6.17,0.0,0.0,86.62,0.0,0.0,485.29,0.0,0.0,-70.39,0.0,0.0,0.0562,0.0,0.0,0.1,0.0,173.19,312.1
2026-03-01 00:06:00,SAT-001,24.27,28.04,4.99,93.5,533.78,-69.23,0.0592,0.053,THERMAL,NORMAL,-11.720000000000002,2.1199999999999974,-9.68,70.96000000000001,10.799999999999955,-0.5300000000000011,-0.0015999999999999973,-0.049999999999999996,-5.86,30.13,8.2873,1.06,26.98,1.4991,-4.84,9.83,6.8448,35.48,58.02,50.1763,5.4,528.38,7.6368,-0.265,-68.965,0.3748,-0.0008,0.06,0.0011,-0.025,0.078,0.0354,139.92,393.86
2026-03-01 00:07:00,SAT-002,24.75,28.45,6.49,84.77,552.65,-63.39,0.0446,0.127,PAYLOAD,NORMAL,-5.370000000000001,-0.129999999999999,2.24,-6.25,21.43999999999994,5.099999999999994,0.0173,0.0020000000000000018,-2.685,27.435,3.7972,-0.065,28.515,0.0919,1.12,5.37,1.5839,-3.125,87.895,4.4194,10.72,541.93,15.1604,2.55,-65.94,3.6062,0.0086,0.036,0.0122,0.001,0.126,0.0014,184.64,368.01
2026-03-01 00:08:00,SAT-003,18.14,21.09,6.57,83.5,223.33,-73.96,0.0428,0.091,POWER,ANOMALY,-4.949999999999999,-7.140000000000001,1.29,-6.3799999999999955,-295.65,-5.079999999999998,0.0049999999999999975,-0.04500000000000001,-2.475,20.615,3.5002,-3.57,24.66,5.0487,0.645,5.925,0.9122,-3.19,86.69,4.5113,-147.825,371.155,209.0561,-2.54,-71.42,3.5921,0.0025,0.0403,0.0035,-0.0225,0.1135,0.0318,138.56,84.77
2026-03-01 00:09:00,SAT-004,25.48,28.35,6.76,89.8,488.66,-65.32,0.0437,0.051,COMMUNICATION,NORMAL,2.3500000000000014,0.15000000000000213,0.7400000000000002,-0.15000000000000568,-7.060000000000002,-0.5999999999999943,-0.03459999999999999,-0.065,1.175,24.305,1.6617,0.075,28.275,0.1061,0.37,6.39,0.5233,-0.075,89.875,0.1061,-3.53,492.19,4.9922,-0.3,-65.02,0.4243,-0.0173,0.061,0.0245,-0.0325,0.0835,0.046,191.65,297.01
2026-03-01 00:10:00,INSAT-3D,29.8,28.24,5.95,91.37,531.02,-69.1,0.0603,0.071,COMMUNICATION,NORMAL,-42.31,0.7399999999999984,0.2599999999999998,14.290000000000006,-22.190000000000055,0.5100000000000051,0.0288,0.016999999999999994,-21.155,50.955,29.9177,0.37,27.87,0.5233,0.13,5.82,0.1838,7.145,84.225,10.1046,-11.095,542.115,15.6907,0.255,-69.355,0.3606,0.0144,0.0459,0.0204,0.0085,0.0625,0.012,168.03,362.99
2026-03-01 00:11:00,GSAT-30,21.95,28.07,5.15,99.5,501.63,-65.26,0.037,0.065,POWER,NORMAL,-0.10000000000000142,0.0,-1.0199999999999996,12.879999999999995,16.339999999999975,5.1299999999999955,-0.019200000000000002,-0.035,-0.05,22.0,0.0707,0.0,28.07,0.0,-0.51,5.66,0.7212,6.44,93.06,9.1075,8.17,493.46,11.5541,2.565,-67.825,3.6275,-0.0096,0.0466,0.0136,-0.0175,0.0825,0.0247,144.56,357.07
2026-03-01 00:12:00,SAT-001,38.9,26.26,20.5,84.27,504.62,-70.47,0.0559,0.11,POWER,ANOMALY,14.629999999999999,-1.7799999999999976,15.51,-9.230000000000004,-29.159999999999968,-1.2399999999999949,-0.0033000000000000043,0.057,5.8467,33.0533,7.7445,-0.48,26.74,1.1386,7.1133,13.3867,7.8342,17.5,66.77,38.5813,-15.84,520.46,14.7424,-1.0033,-69.4667,0.9084,-0.0027,0.0586,0.0025,0.0213,0.0887,0.0311,538.33,-33.71
2026-03-01 00:13:00,SAT-002,23.45,28.18,7.19,80.87,551.83,-62.08,0.0686,0.022,POWER,NORMAL,-1.3000000000000007,-0.2699999999999996,0.7000000000000002,-3.8999999999999915,-0.8199999999999363,1.3100000000000023,0.023999999999999994,-0.10500000000000001,-2.6567,26.1067,3.5359,-0.2233,28.4033,0.204,1.2133,5.9767,1.5358,-4.6833,85.5533,5.1201,6.6,545.23,12.1486,2.5733,-64.6533,3.3866,0.0218,0.0468,0.0207,-0.0693,0.0913,0.0601,202.61,349.22
2026-03-01 00:14:00,SAT-003,24.25,28.03,6.78,84.9,552.47,-68.07,0.0596,0.068,COMMUNICATION,NORMAL,6.109999999999999,6.940000000000001,0.20999999999999996,1.4000000000000057,329.14,5.890000000000001,0.016800000000000002,-0.022999999999999993,2.4233,21.8267,3.245,2.2467,25.7833,4.0658,0.57,6.21,0.8122,-1.1933,86.0933,3.3532,120.8767,431.5933,181.137,2.2333,-70.3033,3.1926,0.0129,0.0467,0.0114,-0.0303,0.0983,0.0346,190.04,362.43
2026-03-01 00:15:00,SAT-004,25.1,27.9,6.83,90.16,501.61,-70.05,0.0557,0.098,POWER,NORMAL,-0.379999999999999,-0.45000000000000284,0.07000000000000028,0.35999999999999943,12.949999999999989,-4.730000000000004,0.011999999999999997,0.04700000000000001,0.53,24.57,1.2615,-0.25,28.15,0.2291,0.2933,6.5367,0.4488,0.19,89.97,0.1808,6.28,495.33,6.4838,-3.3533,-66.6967,2.9195,-0.0035,0.0592,0.0176,0.0097,0.0883,0.0336,190.56,311.05
2026-03-01 00:16:00,INSAT-3D,23.84,28.12,6.39,88.09,567.47,-120.19,0.0567,0.106,COMMUNICATION,ANOMALY,-5.960000000000001,-0.11999999999999744,0.4399999999999995,-3.280000000000001,36.450000000000045,-51.09,-0.003599999999999999,0.035,-18.0767,41.9167,26.3175,0.1667,27.9533,0.3972,0.38,6.01,0.3538,2.5767,85.5133,7.4853,16.9033,550.5667,18.3682,-33.89,-86.3,29.3507,0.0072,0.0495,0.0157,0.029,0.077,0.0265,179.69,387.78
2026-03-01 00:17:00,GSAT-30,21.4,28.39,4.83,88.59,575.02,-67.54,0.0378,0.055,PAYLOAD,NORMAL,-0.5500000000000007,0.3200000000000003,-0.3200000000000003,-10.909999999999997,73.38999999999999,-2.280000000000001,0.0008000000000000021,-0.010000000000000002,-0.4,21.8,0.35,0.2133,28.1767,0.1848,-0.5533,5.3833,0.6998,-2.98,91.57,6.9379,54.3733,520.6467,47.7922,0.19,-67.73,2.5703,-0.0059,0.0437,0.0109,-0.0183,0.0733,0.0236,137.12,437.9
2026-03-01 00:18:00,SAT-001,26.83,28.27,6.4,89.73,516.2,-67.3,0.0485,0.059,THERMAL,NORMAL,-12.07,2.009999999999998,-14.1,5.460000000000008,11.580000000000041,3.1700000000000017,-0.007399999999999997,-0.051000000000000004,-4.6675,31.4975,7.0475,1.1475,27.1225,1.2039,-5.24,11.64,7.2884,17.22,72.51,33.5281,-3.195,519.395,12.2241,1.625,-68.925,1.3129,-0.0076,0.0561,0.0055,-0.0222,0.0812,0.0294,180.93,335.27
