channel_id,spacecraft,train_file,test_file,train_shape,test_shape,signal_columns,command_columns,physical_description,unit,subsystem,meaning_status,meaning_source,anomaly_label_available,notes
A-1,SMAP,train/A-1.npy,test/A-1.npy,"(2880, 25)","(8640, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Attitude pointing / gyro telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Attitude Determination & Control (ADCS),PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [point]
A-2,SMAP,train/A-2.npy,test/A-2.npy,"(2648, 25)","(7914, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Attitude pointing / gyro telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Attitude Determination & Control (ADCS),PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [contextual]
A-3,SMAP,train/A-3.npy,test/A-3.npy,"(2736, 25)","(8205, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Attitude pointing / gyro telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Attitude Determination & Control (ADCS),PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [contextual]
A-4,SMAP,train/A-4.npy,test/A-4.npy,"(2690, 25)","(8080, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Attitude pointing / gyro telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Attitude Determination & Control (ADCS),PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [contextual]
A-5,SMAP,train/A-5.npy,test/A-5.npy,"(705, 25)","(4693, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Attitude pointing / gyro telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Attitude Determination & Control (ADCS),PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [point]
A-6,SMAP,train/A-6.npy,test/A-6.npy,"(682, 25)","(4453, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Attitude pointing / gyro telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Attitude Determination & Control (ADCS),PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [point]
A-7,SMAP,train/A-7.npy,test/A-7.npy,"(2879, 25)","(8631, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Attitude pointing / gyro telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Attitude Determination & Control (ADCS),PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [contextual]
A-8,SMAP,train/A-8.npy,test/A-8.npy,"(762, 25)","(8375, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Attitude pointing / gyro telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Attitude Determination & Control (ADCS),PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [contextual]
A-9,SMAP,train/A-9.npy,test/A-9.npy,"(762, 25)","(8434, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Attitude pointing / gyro telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Attitude Determination & Control (ADCS),PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [contextual]
B-1,SMAP,train/B-1.npy,test/B-1.npy,"(2435, 25)","(8044, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Instrument / payload operational stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Payload / Instrument,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [point]
C-1,MSL,train/C-1.npy,test/C-1.npy,"(2158, 55)","(2264, 55)",1 (column 0: continuous normalized telemetry),54 (columns 1..54: binary mode/command indicators),Transponder / radio frequency telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Communications / Telecom,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,"2 labeled anomaly sequence(s); class: [point, contextual]"
C-2,MSL,train/C-2.npy,test/C-2.npy,"(764, 55)","(2051, 55)",1 (column 0: continuous normalized telemetry),54 (columns 1..54: binary mode/command indicators),Transponder / radio frequency telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Communications / Telecom,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,"2 labeled anomaly sequence(s); class: [point, contextual]"
