timestamp,satellite_id,temperature_c,voltage_v,current_a,battery_soc_percent,solar_power_w,communication_signal_db,vibration_g,attitude_error_deg,subsystem,label
2026-03-01 00:00:00,SAT-001,35.99,25.92,14.67,22.54,522.98,-68.7,0.0608,0.103,BATTERY,ANOMALY
2026-03-01 00:01:00,SAT-002,30.12,28.58,4.25,91.02,531.21,-68.49,0.0273,0.125,PAYLOAD,NORMAL
2026-03-01 00:02:00,SAT-003,23.09,28.23,5.28,89.88,518.98,-68.88,0.0378,0.136,COMMUNICATION,NORMAL
2026-03-01 00:03:00,SAT-004,23.13,28.2,6.02,89.95,495.72,-64.72,0.0783,0.116,COMMUNICATION,NORMAL
2026-03-01 00:04:00,INSAT-3D,72.11,27.5,5.69,77.08,553.21,-69.61,0.0315,0.054,THERMAL,ANOMALY
2026-03-01 00:05:00,GSAT-30,22.05,28.07,6.17,86.62,485.29,-70.39,0.0562,0.1,POWER,NORMAL
2026-03-01 00:06:00,SAT-001,24.27,28.04,4.99,93.5,533.78,-69.23,0.0592,0.053,THERMAL,NORMAL
2026-03-01 00:07:00,SAT-002,24.75,28.45,6.49,84.77,552.65,-63.39,0.0446,0.127,PAYLOAD,NORMAL
2026-03-01 00:08:00,SAT-003,18.14,21.09,6.57,83.5,223.33,-73.96,0.0428,0.091,POWER,ANOMALY
2026-03-01 00:09:00,SAT-004,25.48,28.35,6.76,89.8,488.66,-65.32,0.0437,0.051,COMMUNICATION,NORMAL
2026-03-01 00:10:00,INSAT-3D,29.8,28.24,5.95,91.37,531.02,-69.1,0.0603,0.071,COMMUNICATION,NORMAL
2026-03-01 00:11:00,GSAT-30,21.95,28.07,5.15,99.5,501.63,-65.26,0.037,0.065,POWER,NORMAL
2026-03-01 00:12:00,SAT-001,38.9,26.26,20.5,84.27,504.62,-70.47,0.0559,0.11,POWER,ANOMALY
2026-03-01 00:13:00,SAT-002,23.45,28.18,7.19,80.87,551.83,-62.08,0.0686,0.022,POWER,NORMAL
2026-03-01 00:14:00,SAT-003,24.25,28.03,6.78,84.9,552.47,-68.07,0.0596,0.068,COMMUNICATION,NORMAL
2026-03-01 00:15:00,SAT-004,25.1,27.9,6.83,90.16,501.61,-70.05,0.0557,0.098,POWER,NORMAL
2026-03-01 00:16:00,INSAT-3D,23.84,28.12,6.39,88.09,567.47,-120.19,0.0567,0.106,COMMUNICATION,ANOMALY
2026-03-01 00:17:00,GSAT-30,21.4,28.39,4.83,88.59,575.02,-67.54,0.0378,0.055,PAYLOAD,NORMAL
2026-03-01 00:18:00,SAT-001,26.83,28.27,6.4,89.73,516.2,-67.3,0.0485,0.059,THERMAL,NORMAL
2026-03-01 00:19:00,SAT-002,21.55,27.93,3.9,83.98,539.83,-69.15,0.0394,0.047,ATTITUDE,NORMAL
2026-03-01 00:20:00,SAT-003,28.6,28.49,6.83,75.57,598.2,-67.56,1.7205,0.635,ATTITUDE,ANOMALY
2026-03-01 00:21:00,SAT-004,25.97,28.41,6.21,95.27,530.74,-59.84,0.0525,0.054,THERMAL,NORMAL
2026-03-01 00:22:00,INSAT-3D,30.18,28.3,4.77,86.78,551.45,-66.48,0.0435,0.09,THERMAL,NORMAL
2026-03-01 00:23:00,GSAT-30,23.42,28.39,7.04,86.29,507.59,-69.54,0.0535,0.083,PAYLOAD,NORMAL
2026-03-01 00:24:00,SAT-001,27.89,28.73,6.68,80.96,252.78,-67.85,0.0537,9.614,ATTITUDE,ANOMALY
2026-03-01 00:25:00,SAT-002,22.67,27.78,6.73,80.82,498.59,-66.52,0.043,0.059,ATTITUDE,NORMAL
2026-03-01 00:26:00,SAT-003,23.9,28.39,5.58,86.82,523.01,-67.75,0.0728,0.024,PAYLOAD,NORMAL
2026-03-01 00:27:00,SAT-004,25.52,28.24,6.48,78.6,573.82,-69.53,0.0595,0.075,ATTITUDE,NORMAL
2026-03-01 00:28:00,INSAT-3D,33.38,25.23,10.85,26.79,490.76,-73.97,0.0364,0.105,BATTERY,ANOMALY
2026-03-01 00:29:00,GSAT-30,20.8,28.12,5.82,84.73,601.79,-66.79,0.0299,0.108,COMMUNICATION,NORMAL
2026-03-01 00:30:00,SAT-001,26.32,28.61,5.14,97.22,514.42,-71.84,0.0422,0.136,ATTITUDE,NORMAL
2026-03-01 00:31:00,SAT-002,27.45,28.35,5.82,77.53,525.3,-67.58,0.045,0.103,BATTERY,NORMAL
2026-03-01 00:32:00,SAT-003,61.34,27.5,6.95,85.74,565.17,-66.41,0.0525,0.134,THERMAL,ANOMALY
2026-03-01 00:33:00,SAT-004,27.4,28.22,6.55,87.46,522.97,-67.38,0.0556,0.066,ATTITUDE,NORMAL
2026-03-01 00:34:00,INSAT-3D,20.67,27.99,7.76,87.8,558.53,-68.55,0.0439,0.065,BATTERY,NORMAL
2026-03-01 00:35:00,GSAT-30,22.1,28.06,6.8,91.05,539.27,-67.65,0.0603,0.062,ATTITUDE,NORMAL
2026-03-01 00:36:00,SAT-001,27.64,20.67,6.33,90.49,244.33,-65.56,0.0581,0.081,POWER,ANOMALY
2026-03-01 00:37:00,SAT-002,23.56,28.45,6.28,89.34,493.02,-78.09,0.0585,0.144,POWER,NORMAL
2026-03-01 00:38:00,SAT-003,27.7,28.37,5.64,87.96,466.85,-62.69,0.0413,0.104,ATTITUDE,NORMAL
2026-03-01 00:39:00,SAT-004,25.32,28.22,5.99,93.92,522.31,-72.07,0.026,0.082,BATTERY,NORMAL
2026-03-01 00:40:00,INSAT-3D,41.18,26.77,25.0,87.29,535.59,-65.52,0.0583,0.051,POWER,ANOMALY
2026-03-01 00:41:00,GSAT-30,17.87,28.59,5.96,87.98,516.12,-68.14,0.0603,0.103,COMMUNICATION,NORMAL
2026-03-01 00:42:00,SAT-001,23.11,27.85,5.52,87.77,450.25,-64.57,0.0222,0.098,ATTITUDE,NORMAL
2026-03-01 00:43:00,SAT-002,27.95,27.93,5.64,83.16,590.29,-70.11,0.0433,0.062,PAYLOAD,NORMAL
2026-03-01 00:44:00,SAT-003,25.08,27.98,6.87,79.8,489.43,-119.02,0.037,0.04,COMMUNICATION,ANOMALY
2026-03-01 00:45:00,SAT-004,26.2,28.67,6.96,85.12,508.56,-66.52,0.0292,0.135,THERMAL,NORMAL
2026-03-01 00:46:00,INSAT-3D,24.74,28.13,6.44,82.51,551.93,-68.26,0.0483,0.088,PAYLOAD,NORMAL
2026-03-01 00:47:00,GSAT-30,26.2,28.68,6.46,88.97,595.87,-66.2,0.0373,0.121,BATTERY,NORMAL
2026-03-01 00:48:00,SAT-001,23.78,28.01,5.82,80.32,540.0,-68.77,1.5139,0.672,ATTITUDE,ANOMALY
2026-03-01 00:49:00,SAT-002,25.59,28.49,7.02,88.83,504.29,-68.81,0.0629,0.106,BATTERY,NORMAL
2026-03-01 00:50:00,SAT-003,25.82,28.4,6.24,89.2,568.82,-61.84,0.048,0.066,THERMAL,NORMAL
2026-03-01 00:51:00,SAT-004,30.26,28.22,7.5,81.1,480.38,-68.17,0.0496,0.079,POWER,NORMAL
2026-03-01 00:52:00,INSAT-3D,19.8,28.17,5.46,88.35,243.45,-70.82,0.0399,11.499,ATTITUDE,ANOMALY
2026-03-01 00:53:00,GSAT-30,26.64,28.2,5.11,90.52,522.39,-64.86,0.0422,0.078,THERMAL,NORMAL
2026-03-01 00:54:00,SAT-001,24.63,27.94,5.76,82.01,608.77,-67.89,0.0366,0.086,PAYLOAD,NORMAL
2026-03-01 00:55:00,SAT-002,23.67,27.94,6.35,84.12,540.83,-67.05,0.0446,0.082,PAYLOAD,NORMAL
2026-03-01 00:56:00,SAT-003,35.08,25.75,10.95,32.33,556.01,-66.59,0.0414,0.107,BATTERY,ANOMALY
2026-03-01 00:57:00,SAT-004,22.74,27.93,7.55,92.41,539.72,-63.56,0.0459,0.054,COMMUNICATION,NORMAL
2026-03-01 00:58:00,INSAT-3D,32.3,28.55,4.59,93.34,564.9,-68.87,0.028,0.098,BATTERY,NORMAL
2026-03-01 00:59:00,GSAT-30,25.1,28.23,5.91,86.81,523.97,-69.88,0.0404,0.068,THERMAL,NORMAL
2026-03-01 01:00:00,SAT-001,64.71,27.24,4.5,88.42,541.71,-68.25,0.0474,0.088,THERMAL,ANOMALY
